Logo Link,Club Name,Club Description,Club Category,Club Categories
https://cuchd-in-daa-page.vercel.app/logos/CLOUDSTACK%20CLUB.webp,CLOUDSTACK CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",Science, Technology & Innovation,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expression"
https://cuchd-in-daa-page.vercel.app/logos/COGNIX%20CLUB.webp,COGNIX CLUB,"Cognix Club is dedicated to exploring the frontiers of cognitive computing, artificial intelligence, and intelligent system development. Through workshops, hackathons, and collaborative projects, students gain hands-on experience in building AI-powered solutions.",Science, Technology & Innovation,"Artificial Intelligence, Machine Learning, Cognitive Computing"
https://cuchd-in-daa-page.vercel.app/logos/CU%20PLAYNATION%20CLUB.webp,CU PLAYNATION CLUB,"PlayNation is Chandigarh University’s official Esports and Gaming Club, built for students who live and breathe competitive gaming. From high-stakes tournaments and LAN battles to inter-college leagues and campus showdowns, PlayNation is where strategy, skill, and teamwork come to life. More than just a club - it’s a platform to grow as players, leaders, and future professionals in the ever-evolving world of Esports.",Science, Technology & Innovation,"Esports, Gaming, Content Creation, Event Management, Online Competitions, Team-Based Activities"
https://cuchd-in-daa-page.vercel.app/logos/CYSECSPHERE%20CLUB.webp,CYSECSPHERE CLUB,"Welcome to Cysecsphere Club CU - Chandigarh University's Core Cybersecurity Community. We're a student-led initiative exploring the frontlines of cybersecurity through hands-on CTFs, workshops, research, and red vs. blue team activities. Whether you're into ethical hacking, cryptography, or threat intel, this is where curiosity meets real-world skill-building.",Science, Technology & Innovation,"Ethical Hacking, Capture the Flag, Red Teaming, Cryptography, Malware Analysis, OSINTSecure Coding, Digital Forensics, Threat Hunting, Cybersecurity Research"
https://cuchd-in-daa-page.vercel.app/logos/DROIDLINX%20CLUB.webp,DROIDLINX CLUB,"DroidLinx Club is a hub for mobile technology enthusiasts focused on Android development, cross-platform app building, and smart device innovation. Members collaborate on real-world projects, participate in app development challenges, and stay ahead in mobile technology trends.",Science, Technology & Innovation,"Android Development, Mobile Innovation, Coding"
https://cuchd-in-daa-page.vercel.app/logos/ECO%20GENESIS%20CLUB.jpg,ECO GENESIS CLUB,"The Eco Genesis Club aims to merge environment and technology to promote sustainable, eco-friendly practices on campus and beyond. It seeks to foster environmental awareness among students by integrating innovation with conservation in activities like tree plantations, cleanups, recycling drives, workshops, and techenabled green projects.",Social Impact & Community Development & Community Development,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expressionworkshops."
https://cuchd-in-daa-page.vercel.app/logos/Enterprenuership.webp,ENTREPRENEURSHIP CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",Science, Technology & Innovation,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expression, Stratergy Building, Management"
https://cuchd-in-daa-page.vercel.app/logos/Finverse%20Club.png,FINVERSE CLUB,"Finverse Club is Chandigarh University's official student led financial club under the department of MBA in Banking &amp; Financial Engineering. Our mission is simple: Make finance practical, exciting, and real for students. Whether you are passionate about the stock market, curious about how banks operate, or want to explore financial technology, Finverse gives you the platform to learn, build skills, and connect with industry leaders.",Business & Management,"Financial Literacy & Awareness, Investments & Stock Market, Banking& Fintech, Workshops, Events, AI & Finance"
https://cuchd-in-daa-page.vercel.app/logos/FPF%20CLUB.webp,FPF CLUB,"Future Prep Forum (FPF) is a student-led club dedicated to preparing students for the future of work. We focus on building industry-relevant technical skills, offering accessible certifications, and driving innovation through hands-on hackathons and workshops.By bridging academia and industry, FPF creates meaningful opportunities for learning, collaboration, and career growthempowering students to thrive in an ever-evolving professional landscape.",Science, Technology & Innovation,"Skill Empowerment, Career Advancement, Innovation & Hackathons, Industry-Academia Collaboration, Emerging Tech Forums, Community & Outreach, Tech Bootcamps & Workshops, Certifications & Training Programs, Research & Development Initiatives, AI & Data Science Challenges, Tech Summits & Expert Talks, Product Development & Prototyping, Internships & Placement Support, Open-Source Contribution Drives, Entrepreneurship & Startup Incubation, Mentorship & Peer Learning Programs, Social Impact & Community Development Tech Projects, Cybersecurity Awareness & Workshops, Tech Trend Updates & News Forums, Gamified Learning Events"
https://cuchd-in-daa-page.vercel.app/logos/1779414895413_HOTEL_MANAGEMENT_CLUB.webp,HOTEL MANAGEMENT CLUB,"The Hotel Management Club provides students with opportunities to explore the dynamic world of hospitality, tourism, food service, and event management. The club organizes culinary activities, hospitality workshops, tourism awareness programs, and industry interaction sessions to enhance professional skills and leadership in the hospitality sector.",Business & Management,"Hospitality, Tourism, Event Management, Culinary Arts, Professional Development"
https://cuchd-in-daa-page.vercel.app/logos/IGNITE%20YOUTH%20CLUB.webp,IGNITE YOUTH CLUB,"Ignite Club is a dynamic student-led initiative dedicated to promoting Indian Knowledge Systems (IKS) and nurturing leadership rooted in cultural wisdom and social responsibility. The club provides a platform for intellectual discussions, creative activities, community engagement, and value-based learning inspired by India’s rich heritage. Through workshops, dialogues, heritage activities, and collaborative projects, Ignite Club encourages students to develop critical thinking, ethical leadership, and a deeper connection with indigenous knowledge traditions.",Social Impact & Community Development & Community Development,"Leadership, Community Service, Cultural Events, Awareness Campaigns, Sports, Skill Development, Education, Social Impact & Community Development, Volunteering, Youth Empowerment, Team Building"
https://cuchd-in-daa-page.vercel.app/logos/KALAVERSE%20CLUB.webp,KALAVERSE CLUB,"Kalaverse is a creative media club focused on filmmaking, social media, and content creation. It provides students with opportunities to learn, create, collaborate, and showcase their creativity through engaging events and competitions.",Media, Culture & Communication,"Filmmaking & Cinematography, Content Creation & Social Media, Photography & Editing, Branding & Digital Marketing, Creative Storytelling & Design"
https://cuchd-in-daa-page.vercel.app/logos/MARKETING%20BRIGADE%20CLUB.webp,MARKETING BRIGADE CLUB,"Marketing Brigade is Chandigarh University's official club under the department of MBA- Digital marketing, dedicated to empowering students with hands-on knowledge and experience in the fields of marketing, branding, and digital communication.Our mission is to foster awareness and skill-building in marketing and branding through dynamic initiatives such as workshops, branding booths, influencer-led events, competitions, and full-scale social media campaigns. A full fledged ecosystem dedicated to mastering every vertical of digital marketing.",Business & Management,"Digital Marketing and Transformation, Entrepreneurship Workshops, Branding and Influencer Events & Workshops, Social Media Marketing, Tech Tools and Creative Contests"
https://cuchd-in-daa-page.vercel.app/logos/NANOVERSE.webp,NANOVERSE CLUB,"The Nanoverse Club is a futuristic technology community focused on emerging fields such as nanotechnology, quantum computing, advanced materials, and scientific innovation. The club promotes research discussions, technical workshops, innovation challenges, and collaborative projects that help students explore next-generation technologies shaping the future.",Science, Technology & Innovation,"Nanotechnology, Quantum Computing, Research, Advanced Technology, Innovation"
https://cuchd-in-daa-page.vercel.app/logos/1779415086433_NEXASOUL.webp,NEXASOUL CLUB,"NexaSoul is a frontend development club focused on building industry-ready engineers through real-world projects, hackathons, UI/UX innovation, live deployments, collaborative workflows, and modern web technologies aligned with industry standards.",Science, Technology & Innovation,"Frontend Development, UI/UX Design, Web Application Development, Hackathons & Innovation, Industry-Oriented Learning"
https://cuchd-in-daa-page.vercel.app/logos/PROTOSTART.webp,PROTOSTART CLUB,"ProtoStart Club&nbsp;is the heartbeat of innovation at Chandigarh University  a launchpad where raw ideas turn into real startups. Through mentorship, workshops, and high-energy competitions, it fuels creativity, leadership, and an unshakable entrepreneurial spirit, empowering students to rise as tomorrows changemakers.",Science, Technology & Innovation,"Innovation, Entrepreneurship, Startups, Leadership, Mentorship, Networking, Workshops, Competitions, Creativity, Skill Development"
https://cuchd-in-daa-page.vercel.app/logos/RAMANUJAN%20CLUB.webp,RAMANUJAN CLUB,"The Ramanujan Club is a mathematics club that aims to make mathematics fun, interesting, and interactive rather than boring and limited to classrooms. We organize activities like math quizzes, puzzle solving sessions, treasure hunts, workshops, competitions, and interactive events that show the fun and creative side of mathematics. Our goal is to develop logical thinking, problem solving skills, and curiosity among students. Anyone can join the club  you do not have to be a mathematics expert. If you enjoy puzzles, games, challenges, or want to explore mathematics in a fun way beyond the textbooks.",Science, Technology & Innovation,"Mathematics, Creativity, Brainstorming, Learning, Skills"
https://cuchd-in-daa-page.vercel.app/logos/ROBOX%20CLUB.webp,ROBOX CLUB,"Are you ready to embark on an exciting journey into the future of technology? RoboClubChandigarh University is the perfect place for curious minds and tech enthusiasts tounite, innovate, and create. Whether you're a seasoned programmer, a mechanicalgenius, or just starting to explore the world of robotics, you'll find a supportivecommunity here. We dive into the latest advancements, work on cutting-edge projects,and turn imaginative ideas into reality. Join us, and let's build the future together, onerobot at a time!Vision Statement:To be a leading community that fosters innovation, collaboration, and excellence inrobotics. We aim to inspire and equip our members with the skills and knowledge todrive technological advancements and positively impact society. We want every clubmember to have a project in their resume that stands out to the masses.Mission Statement: Cutting-edge innovation through AI + Robotics. Engage in a wide spectrum of cutting-edge projects unique as per everyonesneed and resume. Reverse learning and Holistic development. Add on- Train and stimulate for Patent publishing.",Science, Technology & Innovation,"Electronics & Embedded Systems, Programming & Automation, Drone & Aerial Robotics, Robotics Competitions & Hackathons, Research & Innovation, Workshops & Mentorship, Community Projects & Outreach, Leadership, Creative Expression"
https://cuchd-in-daa-page.vercel.app/logos/SCI-FI%20INNOVATION%20CLUB.webp,SCI-FI INNOVATION CLUB,"The Sci-Fi Innovation Club at Chandigarh University fosters creativity, critical thinking, and innovation through a blend of technical, literary, and leadership activities. It serves as a vibrant platform for students to explore futuristic ideas, intellectual property rights, and collaborative development.",Science, Technology & Innovation,"Innovation, Research & Development, Intellectual Property Rights, Tech Awareness, Creative Thinking, Leadership, Hackathon, Ideathon, Patent-A-Thon"
https://cuchd-in-daa-page.vercel.app/logos/SOCRATIC-CIRCLE%20CLUB.webp,SOCRATIC-CIRCLE CLUB,"We are the Socratic Circle Club, under the department of Liberal Arts and Humanities. Words can change the world,&nbsp; that's what we believe in. To make it true, we are providing a platform to the students, so that, their views can be heard by all. Sharing of knowledge and views, with each other, is the best way to converse, understand and reach a solution to any and every problem faced by us, collectively, there are quite a lot of them in recent times, which makes it all the more necessary for us to band together.One man's word is very powerful already, imagine the strength of the collective.",Media, Culture & Communication,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expression, Student Summit, MUNCommunication, Knowledge and Learning"
https://cuchd-in-daa-page.vercel.app/logos/TECH%20TATVA%20CLUB.webp,TECH TATVA CLUB,"""Rooted in KnowledgeRising with Technology"" TechTatva is a university-level club dedicated to upskilling students in disruptive technologies while drawing wisdom from India’s knowledge systems including logic, design, governance, and environmental wisdom. We aim to foster innovation, real-world problem solving, and a collaborative spirit across departments, empowering students to improve everyday life through the power of technology.Learn more about TechTatva at: https://www.techtatva.club/Incubate your project at:&nbsp;https://www.techtatva.club/projects",Science, Technology & Innovation,"Artificial Intelligence, Machine Learning, Indian Knowledge Systems, Data Science, Product Management, Open Source, Hackathons, Innovation, Research, Computer Vision, Natural Language Processing, Entrepreneurship, Project Incubation, Generative AIPrompt Engineering, Workshops, Mentorship, Career Development, Cross-Department Collaboration"
https://cuchd-in-daa-page.vercel.app/logos/THE%20VOYAGE%20CLUB.webp,THE VOYAGE CLUB,"The Voyage Club is committed to shaping youth who carry the strength of Indias culture and the vision of modern governance. Through participation in the National Youth Parliament in National Level, along with debates and declamation competitions, our members will not just speakthey will think, challenge ideas, and design solutions rooted in values yet ready for the future. This is where our mission meets action: empowering students to become not just voices in a hall, but architects of a Viksit Bharat 2047.",Social Impact & Community Development & Community Development,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expression"
https://cuchd-in-daa-page.vercel.app/logos/token%20titan.webp,TOKENTITAN CLUB,"TokenTitan Club is a student-led community focused on blockchain technology, cryptocurrency ecosystems, Web3 development, and decentralized applications. The club organizes workshops, hackathons, and seminars to educate and empower students in the rapidly evolving world of distributed ledger technology.",Science, Technology & Innovation,"Blockchain, Cryptocurrency, Web3, Decentralized Apps"
https://cuchd-in-daa-page.vercel.app/logos/TOURISM%20CLUB.webp,TOURISM CLUB,"The Tourism Club at Chandigarh University is dedicated to promoting tourism awareness, cultural exchange, and sustainable travel practices among students. Through field visits, seminars, and cultural events, the club fosters a deeper understanding of diverse cultures and the tourism industry.",Media, Culture & Communication,"Sustainable Tourism, Cultural Exchange, Field Visits"
https://cuchd-in-daa-page.vercel.app/logos/1779415062543_UPCYCLE.webp,UPCYCLE CU,"UpCycle is an official club of Chandigarh University dedicated to promoting sustainability, recycling, and environmental awareness. The club encourages creative upcycling ideas, waste management initiatives, and eco-friendly practices through campaigns, workshops, and community activities to inspire a greener and more responsible future.",Social Impact & Community Development & Community Development,"Sustainability, Recycling, Environment, Eco-Friendly, Waste Management"
https://cuchd-in-daa-page.vercel.app/logos/1779516970382_8cf2983e-d6e5-4346-b24f-5832fee78afc.webp,VIKSIT VELOCITY CLUB,"Viksit Velocity Club is a dynamic student community under the Mechanical domain, focused on innovation, motorsports engineering, and participation in Formula Bharat. The club empowers students to design, develop, and optimize high-performance formula-style race cars while enhancing practical engineering and teamwork skills.",Science, Technology & Innovation,"Motorsports Engineering, Formula Bharat, Vehicle Design & Optimization, Mechanical Innovation, Practical Engineering"
https://cuchd-in-daa-page.vercel.app/logos/VIRTUONIX%20CLUB.webp,VIRTUONIX CLUB,"Welcome to the AR/VR Club!  A hub for curious minds and tech lovers exploring Artificial Intelligence, Machine Learning, and Virtual & Augmented Reality.  Here, creativity meets technologywhether its building immersive VR worlds, experimenting with AI, or sparking bold new ideas.  Join us to learn, create, and innovate together! ",Science, Technology & Innovation,"Hands-on workshop, Coding competition, TechTalk Series, Tech Quiz Show, UI/UX Design Contest"
https://cuchd-in-daa-page.vercel.app/logos/YOUNG%20ORATORS%20CLUB.webp,YOUNG ORATORS CLUB,"The Young Orators Club is a vibrant and inclusive platform dedicated to the overall personality development of individuals. Our mission is to enhance communication, leadership, and persuasive skills through dynamic, real-world activities and engaging formats.We strongly believe that effective communication is the cornerstone of success in any field.",Media, Culture & Communication,"Personality Development, Communication, Leadership, Persuasion, Strategy, Confidence, Creativity, Spontaneity, Public Speaking, Quick Thinking, Stage Presence, Fluency, Vocabulary, Expression, Growth, Empowerment, Clarity, Listening, Influence, Awareness"
