Club Name,Description,categories
ROBOX CLUB,"Are you ready to embark on an exciting journey into the future of technology? RoboClubChandigarh University is the perfect place for curious minds and tech enthusiasts tounite, innovate, and create. Whether you're a seasoned programmer, a mechanicalgenius, or just starting to explore the world of robotics, you'll find a supportivecommunity here. We dive into the latest advancements, work on cutting-edge projects,and turn imaginative ideas into reality. Join us, and let's build the future together, onerobot at a time!Vision Statement:To be a leading community that fosters innovation, collaboration, and excellence inrobotics. We aim to inspire and equip our members with the skills and knowledge todrive technological advancements and positively impact society. We want every clubmember to have a project in their resume that stands out to the masses.Mission Statement:● Cutting-edge innovation through AI + Robotics.● Engage in a wide spectrum of cutting-edge projects unique as per everyone’sneed and resume.● Reverse learning and Holistic development.● Add on- Train and stimulate for Patent publishing.",Electronics & Embedded SystemsProgramming & AutomationDrone & Aerial RoboticsRobotics Competitions & HackathonsResearch & InnovationWorkshops & MentorshipCommunity Projects & OutreachLeadershipCreative Expression
SCI-FI INNOVATION CLUB,"The Sci-Fi Innovation Club at Chandigarh University fosters creativity, critical thinking, and innovation through a blend of technical, literary, and leadership activities. It serves as a vibrant platform for students to explore futuristic ideas, intellectual property rights, and collaborative development.",InnovationResearch & DevelopmentIntellectual Property RightsTech AwarenessCreative ThinkingLeadershipHackathonIdeathonPatent-A-Thon
SOCRATIC-CIRCLE CLUB,"We are the Socratic Circle Club, under the department of Liberal Arts and Humanities. Words can change the world,&nbsp; that's what we believe in. To make it true, we are providing a platform to the students, so that, their views can be heard by all. Sharing of knowledge and views, with each other, is the best way to converse, understand and reach a solution to any and every problem faced by us, collectively, there are quite a lot of them in recent times, which makes it all the more necessary for us to band together.One man's word is very powerful already, imagine the strength of the collective.",DebatePublic SpeakingWriting and EditingLeadershipCreative ExpressionStudent SummitMUNCommunicationKnowledge and Learning
TECH TATVA CLUB,"""Rooted in KnowledgeRising with Technology"" TechTatva is a university-level club dedicated to upskilling students in disruptive technologies while drawing wisdom from India’s knowledge systems including logic, design, governance, and environmental wisdom. We aim to foster innovation, real-world problem solving, and a collaborative spirit across departments, empowering students to improve everyday life through the power of technology.Learn more about TechTatva at: https://www.techtatva.club/Incubate your project at:&nbsp;https://www.techtatva.club/projects",Artificial IntelligenceMachine LearningIndian Knowledge SystemsData ScienceProduct ManagementOpen SourceHackathonsInnovationResearchComputer VisionNatural Language ProcessingEntrepreneurshipProject IncubationGenerative AIPrompt EngineeringWorkshopsMentorshipCareer DevelopmentCross-Department Collaboration
THE VOYAGE CLUB,"The Voyage Club is committed to shaping youth who carry the strength of India’s culture and the vision of modern governance. Through participation in the National Youth Parliament in National Level, along with debates and declamation competitions, our members will not just speak—they will think, challenge ideas, and design solutions rooted in values yet ready for the future. This is where our mission meets action: empowering students to become not just voices in a hall, but architects of a Viksit Bharat 2047.",DebatePublic SpeakingWriting and EditingLeadershipCreative Expression
TOURISM CLUB,"Tourism Club is a dynamic platform under the Travel and Tourism Department that celebrates global cultures, responsible tourism, and student-led creativity. We organize interactive events, awareness campaigns, and theme-based activities aligned with important tourism days and festivals.",Public SpeakingSustainable TourismTravel & cultureTravelWorkshops
XCELLENCE CLUB,"Xcellence Club is a hub for students to explore cutting-edge technologies in analytics and digital transformation. Through workshops, research, and live projects, we empower students to innovate, upskill, and become future-ready professionals.",Workshops & TrainingResearch & Knowledge SharingTechnology & Digital TransformationCommunity Engagement & Social ImpactInnovation
YOUNG ORATORS CLUB,"The Young Orators Club is a vibrant and inclusive platform dedicated to the overall personality development of individuals. Our mission is to enhance communication, leadership, and persuasive skills through dynamic, real-world activities and engaging formats.We strongly believe that effective communication is the cornerstone of success in any field.",Personality DevelopmentCommunicationLeadershipPersuasionStrategyConfidenceCreativitySpontaneityPublic SpeakingQuick ThinkingStage PresenceFluencyVocabularyExpressionGrowthEmpowermentClarityListeningInfluenceAwareness
BAATCHEETLUB CHANDIGARH UNIVERSITY CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",DebatePublic SpeakingWriting and EditingLeadershipCreative Expression
BIZLYTICS CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",DebatePublic SpeakingWriting and EditingLeadershipCreative Expression
BLOCKCHAIN CLUB,"The Blockchain Club is a vibrant community for students passionate about blockchain, Web3, and decentralized technologies. We offer engaging hands-on workshops, facilitate the development of innovative projects, and delve into practical applications such as smart contracts, NFTs, DeFi, and cryptocurrencies. Furthermore, we foster research and exploration in the evolving landscape of Blockchain Technologies. We invite you to join us in learning, building, researching, and contributing to the future of decentralized technology.",WorkshopsProjectsResearchCommunity EventsIndustry TalksHackathonsTechnical BlogsDevelopment
ENTREPRENEURSHIP CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",DebatePublic SpeakingWriting and EditingLeadershipCreative ExpressionStratergy BuildingManagement
,,
PROTOSTART CLUB,"ProtoStart Club&nbsp;is the heartbeat of innovation at Chandigarh University – a launchpad where raw ideas turn into real startups. Through mentorship, workshops, and high-energy competitions, it fuels creativity, leadership, and an unshakable entrepreneurial spirit, empowering students to rise as tomorrow’s changemakers.",InnovationEntrepreneurshipStartupsLeadershipMentorshipNetworkingWorkshopsCompetitionsCreativitySkill Development
,,
,,
AEROMODELLING CLUB,"The Aeromodelling Club is a hub for aviation enthusiasts passionate about aircraft design, drone technology, UAV systems, and aeronautical engineering. The club encourages students to learn practical skills in model aircraft building, flight simulation, robotics integration, and aerospace innovation through workshops, competitions, and hands-on projects.","Aeronautics, UAV Design, Robotics, Aerospace Engineering, Innovation"
BIOSPHERE CLUB,"The Biosphere Club is dedicated to creating awareness about environmental conservation, climate action, and sustainable development. Through plantation drives, cleanliness campaigns, eco-projects, sustainability workshops, and awareness programs, the club inspires students to contribute towards building a greener and healthier planet.","Sustainability, Environment, Climate Action, Green Initiatives, Social Awareness"
HOTEL MANAGEMENT CLUB,"The Hotel Management Club provides students with opportunities to explore the dynamic world of hospitality, tourism, food service, and event management. The club organizes culinary activities, hospitality workshops, tourism awareness programs, and industry interaction sessions to enhance professional skills and leadership in the hospitality sector.","Hospitality, Tourism, Event Management, Culinary Arts, Professional Development"
NANOVERSE CLUB,"The Nanoverse Club is a futuristic technology community focused on emerging fields such as nanotechnology, quantum computing, advanced materials, and scientific innovation. The club promotes research discussions, technical workshops, innovation challenges, and collaborative projects that help students explore next-generation technologies shaping the future.","Nanotechnology, Quantum Computing, Research, Advanced Technology, Innovation"
NEXASOUL CLUB,"Nexasoul Club is a student wellness and emotional support community that promotes mental health awareness, positivity, emotional resilience, and personal growth. Through counseling sessions, interactive activities, motivational events, mindfulness workshops, and peer support initiatives, the club creates a safe and supportive environment for holistic student development.","Mental Wellness, Emotional Support, Personal Growth, Student Life, Mindfulness"
